Info 0    [22:58:41.572] Starting TS Server
Info 1    [22:58:41.572] Version: 4.3.5
Info 2    [22:58:41.572] Arguments: /home/dotangad/.nvm/versions/node/v16.4.0/bin/node /home/dotangad/.nvm/versions/node/v16.4.0/bin/tsserver --logFile /home/dotangad/src/scripting/timetable-gcal/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/07b395c9dd1d1439453a50393645ca42/tscancellation*
Info 3    [22:58:41.572] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [22:58:41.572] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:58:41.591] Search path: /home/dotangad/src/scripting/timetable-gcal
Info 6    [22:58:41.592] For info: /home/dotangad/src/scripting/timetable-gcal/org.js :: No config files found.
Info 7    [22:58:41.596] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [22:58:42.868] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1271.7697439938784ms
Info 9    [22:58:42.869] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [22:58:42.869] 	Files (87)

Info 11   [22:58:42.869] -----------------------------------------------
Info 12   [22:58:42.924] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [22:58:47.654] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 4730.02573800087ms
Info 14   [22:58:47.654] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [22:58:47.654] 	Files (425)

Info 16   [22:58:47.654] -----------------------------------------------
Info 17   [22:58:47.812] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [22:58:52.084] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 4271.574468001723ms
Info 19   [22:58:52.084] Project '/dev/null/inferredProject1*' (Inferred)
Info 20   [22:58:52.084] 	Files (586)

Info 21   [22:58:52.084] -----------------------------------------------
Info 22   [22:58:52.084] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 23   [22:58:52.084] 	Files (425)

Info 24   [22:58:52.084] -----------------------------------------------
Info 25   [22:58:52.107] Before ensureProjectForOpenFiles:
Info 26   [22:58:52.108] After ensureProjectForOpenFiles:
Info 27   [22:58:52.108] got projects updated in background, updating diagnostics for /home/dotangad/src/scripting/timetable-gcal/org.js
Info 28   [22:59:15.765] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [22:59:15.813] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 47.3653009980917ms
Info 30   [22:59:15.813] Different program with same set of files:: structureIsReused:: 2
Info 31   [22:59:59.664] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [22:59:59.737] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 72.51292000710964ms
Info 33   [22:59:59.737] Different program with same set of files:: structureIsReused:: 2
Info 34   [23:00:00.401] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [23:00:00.449] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 47.61752900481224ms
Info 36   [23:00:00.449] Different program with same set of files:: structureIsReused:: 2
Info 37   [23:00:00.453] getCompletionData: Get current token: 0.02807299792766571
Info 38   [23:00:00.453] getCompletionData: Is inside comment: 0.03509598970413208
Info 39   [23:00:00.454] getCompletionData: Get previous token 1: 0.21979600191116333
Info 40   [23:00:00.454] getCompletionsAtPosition: isCompletionListBlocker: 0.1262589991092682
Info 41   [23:00:00.454] Returning an empty list because completion was requested in an invalid position.
Info 42   [23:00:00.459] getCompletionData: Get current token: 0.02512800693511963
Info 43   [23:00:00.459] getCompletionData: Is inside comment: 0.013074994087219238
Info 44   [23:00:00.459] getCompletionData: Get previous token 1: 0.18898800015449524
Info 45   [23:00:00.459] getCompletionsAtPosition: isCompletionListBlocker: 0.01980699598789215
Info 46   [23:00:00.459] Returning an empty list because completion was requested in an invalid position.
Info 47   [23:00:00.463] getCompletionData: Get current token: 0.024627000093460083
Info 48   [23:00:00.463] getCompletionData: Is inside comment: 0.012012988328933716
Info 49   [23:00:00.463] getCompletionData: Get previous token 1: 0.15000399947166443
Info 50   [23:00:00.463] getCompletionsAtPosition: isCompletionListBlocker: 0.01794399321079254
Info 51   [23:00:00.463] Returning an empty list because completion was requested in an invalid position.
Info 52   [23:00:00.695] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [23:00:00.746] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 51.71314199268818ms
Info 54   [23:00:00.747] Different program with same set of files:: structureIsReused:: 2
Info 55   [23:00:00.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [23:00:00.840] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 18.134642004966736ms
Info 57   [23:00:00.840] Different program with same set of files:: structureIsReused:: 2
Info 58   [23:00:00.840] getCompletionData: Get current token: 0.008395999670028687
Info 59   [23:00:00.840] getCompletionData: Is inside comment: 0.006593003869056702
Info 60   [23:00:00.840] getCompletionData: Get previous token 1: 0.061115995049476624
Info 61   [23:00:00.840] getCompletionData: Get previous token 2: 0.04312099516391754
Info 62   [23:00:00.841] getCompletionsAtPosition: isCompletionListBlocker: 0.2955299913883209
Info 63   [23:00:00.847] collectAutoImports: starting, not resolving module specifiers
Info 64   [23:00:00.847] collectAutoImports: module specifier cache size: 0
Info 65   [23:00:00.859] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 66   [23:00:00.944] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 2 structureChanged: true Elapsed: 84.69695699214935ms
Info 67   [23:00:00.944] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 68   [23:00:00.944] 	Files (0)

Info 69   [23:00:00.944] -----------------------------------------------
Info 70   [23:00:00.945] getSymbolToExportInfoMap: cache miss or empty; calculating new results
Info 71   [23:00:00.993] getSymbolToExportInfoMap: caching results
Info 72   [23:00:00.993] getSymbolToExportInfoMap: done in 145.61651799082756 ms
Info 73   [23:00:01.031] collectAutoImports: done in 184.06154300272465 ms
Info 74   [23:00:01.031] getCompletionData: Semantic work: 190.20551499724388
Info 75   [23:00:01.065] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 33.33434900641441
Info 76   [23:00:01.094] getCompletionData: Get current token: 0.008155003190040588
Info 77   [23:00:01.094] getCompletionData: Is inside comment: 0.007885009050369263
Info 78   [23:00:01.094] getCompletionData: Get previous token 1: 0.05676700174808502
Info 79   [23:00:01.094] getCompletionData: Get previous token 2: 0.04476499557495117
Info 80   [23:00:01.094] getCompletionsAtPosition: isCompletionListBlocker: 0.02207198739051819
Info 81   [23:00:01.099] collectAutoImports: starting, not resolving module specifiers
Info 82   [23:00:01.099] collectAutoImports: module specifier cache size: 239
Info 83   [23:00:01.101] getSymbolToExportInfoMap: cache hit
Info 84   [23:00:01.124] collectAutoImports: done in 25.082917004823685 ms
Info 85   [23:00:01.124] getCompletionData: Semantic work: 30.452142998576164
Info 86   [23:00:01.151] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 25.798299998044968
Info 87   [23:00:01.158] getCompletionData: Get current token: 0.01067100465297699
Info 88   [23:00:01.158] getCompletionData: Is inside comment: 0.007324010133743286
